# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-23 10:26:23 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07017260 Big River below Desloge, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 07017260
#            TS   parameter     statistic     Description
#         76047       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	76047_00060_00003	76047_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07017260	2016-01-23	137	A
USGS	07017260	2016-01-24	133	A
USGS	07017260	2016-01-25	132	A
USGS	07017260	2016-01-26	133	A
USGS	07017260	2016-01-27	130	A
USGS	07017260	2016-01-28	125	A
USGS	07017260	2016-01-29	121	A
USGS	07017260	2016-01-30	119	A
USGS	07017260	2016-01-31	118	A
USGS	07017260	2016-02-01	117	A
USGS	07017260	2016-02-02	113	A
USGS	07017260	2016-02-03	112	A
USGS	07017260	2016-02-04	111	A
USGS	07017260	2016-02-05	107	A
USGS	07017260	2016-02-06	102	A
USGS	07017260	2016-02-07	100	A
USGS	07017260	2016-02-08	99	A
USGS	07017260	2016-02-09	98	A
USGS	07017260	2016-02-10	94	A
USGS	07017260	2016-02-11	91	A
USGS	07017260	2016-02-12	90	A
USGS	07017260	2016-02-13	87	A
USGS	07017260	2016-02-14	87	A
USGS	07017260	2016-02-15	88	A
USGS	07017260	2016-02-16	102	A
USGS	07017260	2016-02-17	213	A
USGS	07017260	2016-02-18	281	A
USGS	07017260	2016-02-19	236	A
USGS	07017260	2016-02-20	203	A
USGS	07017260	2016-02-21	184	A
USGS	07017260	2016-02-22	168	A
USGS	07017260	2016-02-23	154	A
USGS	07017260	2016-02-24	197	A
USGS	07017260	2016-02-25	392	A
USGS	07017260	2016-02-26	381	A
USGS	07017260	2016-02-27	327	A
USGS	07017260	2016-02-28	299	A
USGS	07017260	2016-02-29	267	A
USGS	07017260	2016-03-01	233	A
USGS	07017260	2016-03-02	211	A
USGS	07017260	2016-03-03	193	A
USGS	07017260	2016-03-04	184	A
USGS	07017260	2016-03-05	172	A
USGS	07017260	2016-03-06	159	A
USGS	07017260	2016-03-07	149	A
USGS	07017260	2016-03-08	142	A
USGS	07017260	2016-03-09	141	A
USGS	07017260	2016-03-10	187	A
USGS	07017260	2016-03-11	621	A
USGS	07017260	2016-03-12	484	A
USGS	07017260	2016-03-13	467	A
USGS	07017260	2016-03-14	595	A
USGS	07017260	2016-03-15	423	A
USGS	07017260	2016-03-16	337	A
USGS	07017260	2016-03-17	276	A
USGS	07017260	2016-03-18	236	A
USGS	07017260	2016-03-19	216	A
USGS	07017260	2016-03-20	200	A
USGS	07017260	2016-03-21	186	A
USGS	07017260	2016-03-22	172	A
USGS	07017260	2016-03-23	160	A
USGS	07017260	2016-03-24	156	A
USGS	07017260	2016-03-25	164	A
USGS	07017260	2016-03-26	155	A
USGS	07017260	2016-03-27	146	A
USGS	07017260	2016-03-28	143	A
USGS	07017260	2016-03-29	137	A
USGS	07017260	2016-03-30	131	A
USGS	07017260	2016-03-31	195	A
USGS	07017260	2016-04-01	399	A
USGS	07017260	2016-04-02	295	A
USGS	07017260	2016-04-03	232	A
USGS	07017260	2016-04-04	197	A
USGS	07017260	2016-04-05	175	A
USGS	07017260	2016-04-06	163	A
USGS	07017260	2016-04-07	173	A
USGS	07017260	2016-04-08	175	A
USGS	07017260	2016-04-09	157	A
USGS	07017260	2016-04-10	145	A
USGS	07017260	2016-04-11	744	A
USGS	07017260	2016-04-12	1220	A
USGS	07017260	2016-04-13	586	A
USGS	07017260	2016-04-14	400	A
USGS	07017260	2016-04-15	314	A
USGS	07017260	2016-04-16	262	A
USGS	07017260	2016-04-17	226	A
USGS	07017260	2016-04-18	201	A
USGS	07017260	2016-04-19	179	A
USGS	07017260	2016-04-20	173	A
USGS	07017260	2016-04-21	190	A
USGS	07017260	2016-04-22	206	A
USGS	07017260	2016-04-23	176	A
USGS	07017260	2016-04-24	155	A
USGS	07017260	2016-04-25	149	A
USGS	07017260	2016-04-26	154	A
USGS	07017260	2016-04-27	147	A
USGS	07017260	2016-04-28	141	A
USGS	07017260	2016-04-29	127	A
USGS	07017260	2016-04-30	129	A
USGS	07017260	2016-05-01	162	A
USGS	07017260	2016-05-02	226	A
USGS	07017260	2016-05-03	172	A
USGS	07017260	2016-05-04	147	A
USGS	07017260	2016-05-05	131	A
USGS	07017260	2016-05-06	120	A
USGS	07017260	2016-05-07	109	A
USGS	07017260	2016-05-08	102	A
USGS	07017260	2016-05-09	98	A
USGS	07017260	2016-05-10	122	A
USGS	07017260	2016-05-11	564	A
USGS	07017260	2016-05-12	5330	A
USGS	07017260	2016-05-13	2350	A
USGS	07017260	2016-05-14	764	A
USGS	07017260	2016-05-15	449	A
USGS	07017260	2016-05-16	334	A
USGS	07017260	2016-05-17	2270	A
USGS	07017260	2016-05-18	4060	A
USGS	07017260	2016-05-19	1160	A
USGS	07017260	2016-05-20	720	A
USGS	07017260	2016-05-21	552	A
USGS	07017260	2016-05-22	436	A
USGS	07017260	2016-05-23	354	A
USGS	07017260	2016-05-24	915	A
USGS	07017260	2016-05-25	2870	A
USGS	07017260	2016-05-26	989	A
USGS	07017260	2016-05-27	4140	A
USGS	07017260	2016-05-28	3450	A
USGS	07017260	2016-05-29	1180	A
USGS	07017260	2016-05-30	717	A
USGS	07017260	2016-05-31	541	A
USGS	07017260	2016-06-01	497	A
USGS	07017260	2016-06-02	952	A
USGS	07017260	2016-06-03	545	A
USGS	07017260	2016-06-04	534	A
USGS	07017260	2016-06-05	708	A
USGS	07017260	2016-06-06	437	A
USGS	07017260	2016-06-07	324	A
USGS	07017260	2016-06-08	260	A
USGS	07017260	2016-06-09	214	A
USGS	07017260	2016-06-10	185	A
USGS	07017260	2016-06-11	163	A
USGS	07017260	2016-06-12	146	A
USGS	07017260	2016-06-13	132	A
USGS	07017260	2016-06-14	118	A
USGS	07017260	2016-06-15	110	A
USGS	07017260	2016-06-16	98	A
USGS	07017260	2016-06-17	90	A
USGS	07017260	2016-06-18	83	A
USGS	07017260	2016-06-19	75	A
USGS	07017260	2016-06-20	70	A
USGS	07017260	2016-06-21	68	A
USGS	07017260	2016-06-22	63	A
USGS	07017260	2016-06-23	57	A
USGS	07017260	2016-06-24	54	A
USGS	07017260	2016-06-25	56	A
USGS	07017260	2016-06-26	78	A
USGS	07017260	2016-06-27	73	A
USGS	07017260	2016-06-28	57	A
USGS	07017260	2016-06-29	53	A
USGS	07017260	2016-06-30	48	A
USGS	07017260	2016-07-01	46	A
USGS	07017260	2016-07-02	63	A
USGS	07017260	2016-07-03	97	A
USGS	07017260	2016-07-04	251	A
USGS	07017260	2016-07-05	335	A
USGS	07017260	2016-07-06	272	A
USGS	07017260	2016-07-07	332	A
USGS	07017260	2016-07-08	606	A
USGS	07017260	2016-07-09	335	A
USGS	07017260	2016-07-10	212	A
USGS	07017260	2016-07-11	157	A
USGS	07017260	2016-07-12	124	A
USGS	07017260	2016-07-13	110	A
USGS	07017260	2016-07-14	120	A
USGS	07017260	2016-07-15	101	A
USGS	07017260	2016-07-16	87	A
USGS	07017260	2016-07-17	77	A
USGS	07017260	2016-07-18	70	A
USGS	07017260	2016-07-19	61	A
USGS	07017260	2016-07-20	58	A
USGS	07017260	2016-07-21	53	A
USGS	07017260	2016-07-22	47	A
USGS	07017260	2016-07-23	46	A
USGS	07017260	2016-07-24	45	A
USGS	07017260	2016-07-25	44	A
USGS	07017260	2016-07-26	64	A
USGS	07017260	2016-07-27	99	A
USGS	07017260	2016-07-28	636	A
USGS	07017260	2016-07-29	225	A
USGS	07017260	2016-07-30	160	A
USGS	07017260	2016-07-31	128	A
USGS	07017260	2016-08-01	135	A
USGS	07017260	2016-08-02	142	A
USGS	07017260	2016-08-03	157	A
USGS	07017260	2016-08-04	151	A
USGS	07017260	2016-08-05	119	A
USGS	07017260	2016-08-06	106	A
USGS	07017260	2016-08-07	99	A
USGS	07017260	2016-08-08	86	A
USGS	07017260	2016-08-09	77	A
USGS	07017260	2016-08-10	68	A
USGS	07017260	2016-08-11	63	A
USGS	07017260	2016-08-12	59	A
USGS	07017260	2016-08-13	57	A
USGS	07017260	2016-08-14	270	A
USGS	07017260	2016-08-15	14500	A
USGS	07017260	2016-08-16	3510	A
USGS	07017260	2016-08-17	1100	A
USGS	07017260	2016-08-18	726	A
USGS	07017260	2016-08-19	548	A
USGS	07017260	2016-08-20	433	A
USGS	07017260	2016-08-21	350	A
USGS	07017260	2016-08-22	286	A
USGS	07017260	2016-08-23	241	A
USGS	07017260	2016-08-24	214	A
USGS	07017260	2016-08-25	190	A
USGS	07017260	2016-08-26	168	A
USGS	07017260	2016-08-27	149	A
USGS	07017260	2016-08-28	134	A
USGS	07017260	2016-08-29	121	A
USGS	07017260	2016-08-30	120	A
USGS	07017260	2016-08-31	111	A
USGS	07017260	2016-09-01	97	A
USGS	07017260	2016-09-02	91	A
USGS	07017260	2016-09-03	85	A
USGS	07017260	2016-09-04	80	A
USGS	07017260	2016-09-05	76	A
USGS	07017260	2016-09-06	71	A
USGS	07017260	2016-09-07	69	A
USGS	07017260	2016-09-08	74	A
USGS	07017260	2016-09-09	86	A
USGS	07017260	2016-09-10	89	A
USGS	07017260	2016-09-11	81	A
USGS	07017260	2016-09-12	72	A
USGS	07017260	2016-09-13	67	A
USGS	07017260	2016-09-14	64	A
USGS	07017260	2016-09-15	65	A
USGS	07017260	2016-09-16	191	A
USGS	07017260	2016-09-17	2370	A
USGS	07017260	2016-09-18	700	A
USGS	07017260	2016-09-19	374	A
USGS	07017260	2016-09-20	258	A
USGS	07017260	2016-09-21	198	A
USGS	07017260	2016-09-22	162	A
USGS	07017260	2016-09-23	139	A
USGS	07017260	2016-09-24	123	A
USGS	07017260	2016-09-25	110	A
USGS	07017260	2016-09-26	103	A
USGS	07017260	2016-09-27	95	A
USGS	07017260	2016-09-28	88	A
USGS	07017260	2016-09-29	81	A
USGS	07017260	2016-09-30	76	A
USGS	07017260	2016-10-01	74	A
USGS	07017260	2016-10-02	71	A
USGS	07017260	2016-10-03	69	A
USGS	07017260	2016-10-04	67	A
USGS	07017260	2016-10-05	64	A
USGS	07017260	2016-10-06	62	A
USGS	07017260	2016-10-07	59	A
USGS	07017260	2016-10-08	56	A
USGS	07017260	2016-10-09	53	A
USGS	07017260	2016-10-10	52	A
USGS	07017260	2016-10-11	52	A
USGS	07017260	2016-10-12	51	A
USGS	07017260	2016-10-13	51	A
USGS	07017260	2016-10-14	51	A
USGS	07017260	2016-10-15	54	A
USGS	07017260	2016-10-16	54	A
USGS	07017260	2016-10-17	52	A
USGS	07017260	2016-10-18	50	A
USGS	07017260	2016-10-19	55	A
USGS	07017260	2016-10-20	695	A
USGS	07017260	2016-10-21	633	A
USGS	07017260	2016-10-22	276	A
USGS	07017260	2016-10-23	185	A
USGS	07017260	2016-10-24	145	A
USGS	07017260	2016-10-25	121	A
USGS	07017260	2016-10-26	109	A
USGS	07017260	2016-10-27	99	A
USGS	07017260	2016-10-28	92	A
USGS	07017260	2016-10-29	85	A
USGS	07017260	2016-10-30	79	A
USGS	07017260	2016-10-31	76	A
USGS	07017260	2016-11-01	72	A
USGS	07017260	2016-11-02	69	A
USGS	07017260	2016-11-03	72	A
USGS	07017260	2016-11-04	70	A
USGS	07017260	2016-11-05	66	A
USGS	07017260	2016-11-06	63	A
USGS	07017260	2016-11-07	62	A
USGS	07017260	2016-11-08	61	A
USGS	07017260	2016-11-09	60	A
USGS	07017260	2016-11-10	58	A
USGS	07017260	2016-11-11	57	A
USGS	07017260	2016-11-12	55	A
USGS	07017260	2016-11-13	54	A
USGS	07017260	2016-11-14	53	A
USGS	07017260	2016-11-15	53	A
USGS	07017260	2016-11-16	53	A
USGS	07017260	2016-11-17	53	A
USGS	07017260	2016-11-18	57	A
USGS	07017260	2016-11-19	56	A
USGS	07017260	2016-11-20	59	A
USGS	07017260	2016-11-21	59	A
USGS	07017260	2016-11-22	57	A
USGS	07017260	2016-11-23	56	A
USGS	07017260	2016-11-24	55	A
USGS	07017260	2016-11-25	55	A
USGS	07017260	2016-11-26	54	A
USGS	07017260	2016-11-27	55	A
USGS	07017260	2016-11-28	61	A
USGS	07017260	2016-11-29	65	A
USGS	07017260	2016-11-30	78	A
USGS	07017260	2016-12-01	82	A
USGS	07017260	2016-12-02	74	A
USGS	07017260	2016-12-03	69	A
USGS	07017260	2016-12-04	69	A
USGS	07017260	2016-12-05	69	A
