# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-23 10:27:11 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07017610 Big River below Bonne Terre, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 07017610
#            TS   parameter     statistic     Description
#         76050       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	76050_00060_00003	76050_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07017610	2016-01-23	203	A
USGS	07017610	2016-01-24	198	A
USGS	07017610	2016-01-25	202	A
USGS	07017610	2016-01-26	204	A
USGS	07017610	2016-01-27	197	A
USGS	07017610	2016-01-28	190	A
USGS	07017610	2016-01-29	184	A
USGS	07017610	2016-01-30	178	A
USGS	07017610	2016-01-31	176	A
USGS	07017610	2016-02-01	171	A
USGS	07017610	2016-02-02	168	A
USGS	07017610	2016-02-03	161	A
USGS	07017610	2016-02-04	155	A
USGS	07017610	2016-02-05	150	A
USGS	07017610	2016-02-06	145	A
USGS	07017610	2016-02-07	142	A
USGS	07017610	2016-02-08	141	A
USGS	07017610	2016-02-09	137	A
USGS	07017610	2016-02-10	131	A
USGS	07017610	2016-02-11	129	A
USGS	07017610	2016-02-12	128	A
USGS	07017610	2016-02-13	122	A
USGS	07017610	2016-02-14	123	A
USGS	07017610	2016-02-15	128	A
USGS	07017610	2016-02-16	159	A
USGS	07017610	2016-02-17	376	A
USGS	07017610	2016-02-18	455	A
USGS	07017610	2016-02-19	383	A
USGS	07017610	2016-02-20	314	A
USGS	07017610	2016-02-21	278	A
USGS	07017610	2016-02-22	247	A
USGS	07017610	2016-02-23	224	A
USGS	07017610	2016-02-24	368	A
USGS	07017610	2016-02-25	865	A
USGS	07017610	2016-02-26	650	A
USGS	07017610	2016-02-27	539	A
USGS	07017610	2016-02-28	475	A
USGS	07017610	2016-02-29	413	A
USGS	07017610	2016-03-01	359	A
USGS	07017610	2016-03-02	316	A
USGS	07017610	2016-03-03	288	A
USGS	07017610	2016-03-04	273	A
USGS	07017610	2016-03-05	252	A
USGS	07017610	2016-03-06	231	A
USGS	07017610	2016-03-07	221	A
USGS	07017610	2016-03-08	208	A
USGS	07017610	2016-03-09	206	A
USGS	07017610	2016-03-10	277	A
USGS	07017610	2016-03-11	733	A
USGS	07017610	2016-03-12	694	A
USGS	07017610	2016-03-13	642	A
USGS	07017610	2016-03-14	781	A
USGS	07017610	2016-03-15	616	A
USGS	07017610	2016-03-16	494	A
USGS	07017610	2016-03-17	401	A
USGS	07017610	2016-03-18	340	A
USGS	07017610	2016-03-19	309	A
USGS	07017610	2016-03-20	289	A
USGS	07017610	2016-03-21	272	A
USGS	07017610	2016-03-22	252	A
USGS	07017610	2016-03-23	233	A
USGS	07017610	2016-03-24	228	A
USGS	07017610	2016-03-25	230	A
USGS	07017610	2016-03-26	220	A
USGS	07017610	2016-03-27	205	A
USGS	07017610	2016-03-28	203	A
USGS	07017610	2016-03-29	194	A
USGS	07017610	2016-03-30	185	A
USGS	07017610	2016-03-31	469	A
USGS	07017610	2016-04-01	579	A
