# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-23 09:22:21 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07020500 Mississippi River at Chester, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 07020500
#            TS   parameter     statistic     Description
#         76099       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	76099_00060_00003	76099_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07020500	2016-01-23	300000	A
USGS	07020500	2016-01-24	281000	A
USGS	07020500	2016-01-25	273000	A
USGS	07020500	2016-01-26	268000	A
USGS	07020500	2016-01-27	269000	A
USGS	07020500	2016-01-28	269000	A
USGS	07020500	2016-01-29	270000	A
USGS	07020500	2016-01-30	268000	A
USGS	07020500	2016-01-31	264000	A
USGS	07020500	2016-02-01	259000	A
USGS	07020500	2016-02-02	254000	A
USGS	07020500	2016-02-03	251000	A
USGS	07020500	2016-02-04	260000	A
USGS	07020500	2016-02-05	276000	A
USGS	07020500	2016-02-06	292000	A
USGS	07020500	2016-02-07	295000	A
USGS	07020500	2016-02-08	281000	A
USGS	07020500	2016-02-09	259000	A
USGS	07020500	2016-02-10	243000	A
USGS	07020500	2016-02-11	222000	A
USGS	07020500	2016-02-12	209000	A
USGS	07020500	2016-02-13	209000	A
USGS	07020500	2016-02-14	199000	A
USGS	07020500	2016-02-15	189000	A
USGS	07020500	2016-02-16	185000	A
USGS	07020500	2016-02-17	178000	A
USGS	07020500	2016-02-18	179000	A
USGS	07020500	2016-02-19	191000	A
USGS	07020500	2016-02-20	204000	A
USGS	07020500	2016-02-21	215000	A
USGS	07020500	2016-02-22	226000	A
USGS	07020500	2016-02-23	222000	A
USGS	07020500	2016-02-24	242000	A
USGS	07020500	2016-02-25	268000	A
USGS	07020500	2016-02-26	279000	A
USGS	07020500	2016-02-27	285000	A
USGS	07020500	2016-02-28	281000	A
USGS	07020500	2016-02-29	273000	A
USGS	07020500	2016-03-01	258000	A
USGS	07020500	2016-03-02	249000	A
USGS	07020500	2016-03-03	250000	A
USGS	07020500	2016-03-04	252000	A
USGS	07020500	2016-03-05	246000	A
USGS	07020500	2016-03-06	238000	A
USGS	07020500	2016-03-07	232000	A
USGS	07020500	2016-03-08	230000	A
USGS	07020500	2016-03-09	226000	A
USGS	07020500	2016-03-10	226000	A
USGS	07020500	2016-03-11	229000	A
USGS	07020500	2016-03-12	223000	A
USGS	07020500	2016-03-13	218000	A
USGS	07020500	2016-03-14	223000	A
USGS	07020500	2016-03-15	227000	A
USGS	07020500	2016-03-16	234000	A
USGS	07020500	2016-03-17	241000	A
USGS	07020500	2016-03-18	246000	A
USGS	07020500	2016-03-19	255000	A
USGS	07020500	2016-03-20	266000	A
USGS	07020500	2016-03-21	277000	A
USGS	07020500	2016-03-22	283000	A
USGS	07020500	2016-03-23	280000	A
USGS	07020500	2016-03-24	273000	A
USGS	07020500	2016-03-25	267000	A
USGS	07020500	2016-03-26	264000	A
USGS	07020500	2016-03-27	263000	A
USGS	07020500	2016-03-28	266000	A
USGS	07020500	2016-03-29	277000	A
USGS	07020500	2016-03-30	287000	A
USGS	07020500	2016-03-31	306000	A
USGS	07020500	2016-04-01	325000	A
USGS	07020500	2016-04-02	334000	A
USGS	07020500	2016-04-03	334000	A
USGS	07020500	2016-04-04	330000	A
USGS	07020500	2016-04-05	323000	A
USGS	07020500	2016-04-06	314000	A
USGS	07020500	2016-04-07	308000	A
USGS	07020500	2016-04-08	303000	A
USGS	07020500	2016-04-09	299000	A
USGS	07020500	2016-04-10	296000	A
USGS	07020500	2016-04-11	302000	A
USGS	07020500	2016-04-12	316000	A
USGS	07020500	2016-04-13	318000	A
USGS	07020500	2016-04-14	318000	A
USGS	07020500	2016-04-15	313000	A
USGS	07020500	2016-04-16	302000	A
USGS	07020500	2016-04-17	289000	A
USGS	07020500	2016-04-18	275000	A
USGS	07020500	2016-04-19	258000	A
USGS	07020500	2016-04-20	246000	A
USGS	07020500	2016-04-21	243000	A
USGS	07020500	2016-04-22	236000	A
USGS	07020500	2016-04-23	228000	A
USGS	07020500	2016-04-24	218000	A
USGS	07020500	2016-04-25	211000	A
USGS	07020500	2016-04-26	217000	A
USGS	07020500	2016-04-27	239000	A
USGS	07020500	2016-04-28	250000	A
USGS	07020500	2016-04-29	250000	A
USGS	07020500	2016-04-30	282000	A
USGS	07020500	2016-05-01	370000	A
USGS	07020500	2016-05-02	402000	A
USGS	07020500	2016-05-03	391000	A
USGS	07020500	2016-05-04	385000	A
USGS	07020500	2016-05-05	393000	A
USGS	07020500	2016-05-06	395000	A
USGS	07020500	2016-05-07	389000	A
USGS	07020500	2016-05-08	380000	A
USGS	07020500	2016-05-09	371000	A
USGS	07020500	2016-05-10	372000	A
USGS	07020500	2016-05-11	379000	A
USGS	07020500	2016-05-12	415000	A
USGS	07020500	2016-05-13	432000	A
USGS	07020500	2016-05-14	427000	A
USGS	07020500	2016-05-15	428000	A
USGS	07020500	2016-05-16	421000	A
USGS	07020500	2016-05-17	410000	A
USGS	07020500	2016-05-18	404000	A
USGS	07020500	2016-05-19	390000	A
USGS	07020500	2016-05-20	370000	A
USGS	07020500	2016-05-21	349000	A
USGS	07020500	2016-05-22	333000	A
USGS	07020500	2016-05-23	315000	A
USGS	07020500	2016-05-24	299000	A
USGS	07020500	2016-05-25	289000	A
USGS	07020500	2016-05-26	284000	A
USGS	07020500	2016-05-27	292000	A
USGS	07020500	2016-05-28	307000	A
USGS	07020500	2016-05-29	350000	A
USGS	07020500	2016-05-30	395000	A
USGS	07020500	2016-05-31	419000	A
USGS	07020500	2016-06-01	428000	A
USGS	07020500	2016-06-02	426000	A
USGS	07020500	2016-06-03	411000	A
USGS	07020500	2016-06-04	391000	A
USGS	07020500	2016-06-05	377000	A
USGS	07020500	2016-06-06	357000	A
USGS	07020500	2016-06-07	342000	A
USGS	07020500	2016-06-08	336000	A
USGS	07020500	2016-06-09	332000	A
