# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-23 10:28:20 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07014500 Meramec River near Sullivan, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 07014500
#            TS   parameter     statistic     Description
#         76030       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	76030_00060_00003	76030_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07014500	2016-01-23	1040	A
USGS	07014500	2016-01-24	1010	A
USGS	07014500	2016-01-25	998	A
USGS	07014500	2016-01-26	986	A
USGS	07014500	2016-01-27	962	A
USGS	07014500	2016-01-28	941	A
USGS	07014500	2016-01-29	925	A
USGS	07014500	2016-01-30	911	A
USGS	07014500	2016-01-31	900	A
USGS	07014500	2016-02-01	885	A
USGS	07014500	2016-02-02	878	A
USGS	07014500	2016-02-03	882	A
USGS	07014500	2016-02-04	872	A
USGS	07014500	2016-02-05	861	A
USGS	07014500	2016-02-06	841	A
USGS	07014500	2016-02-07	824	A
USGS	07014500	2016-02-08	819	A
USGS	07014500	2016-02-09	805	A
USGS	07014500	2016-02-10	791	A
USGS	07014500	2016-02-11	781	A
USGS	07014500	2016-02-12	769	A
USGS	07014500	2016-02-13	756	A
USGS	07014500	2016-02-14	751	A
USGS	07014500	2016-02-15	755	A
USGS	07014500	2016-02-16	804	A
USGS	07014500	2016-02-17	930	A
USGS	07014500	2016-02-18	1050	A
USGS	07014500	2016-02-19	1090	A
USGS	07014500	2016-02-20	1060	A
USGS	07014500	2016-02-21	1030	A
USGS	07014500	2016-02-22	992	A
USGS	07014500	2016-02-23	950	A
USGS	07014500	2016-02-24	974	A
USGS	07014500	2016-02-25	1060	A
USGS	07014500	2016-02-26	1140	A
USGS	07014500	2016-02-27	1140	A
USGS	07014500	2016-02-28	1130	A
USGS	07014500	2016-02-29	1140	A
USGS	07014500	2016-03-01	1120	A
USGS	07014500	2016-03-02	1080	A
USGS	07014500	2016-03-03	1050	A
USGS	07014500	2016-03-04	1030	A
USGS	07014500	2016-03-05	986	A
USGS	07014500	2016-03-06	946	A
USGS	07014500	2016-03-07	914	A
USGS	07014500	2016-03-08	894	A
USGS	07014500	2016-03-09	918	A
USGS	07014500	2016-03-10	1080	A
USGS	07014500	2016-03-11	2140	A
USGS	07014500	2016-03-12	2830	A
USGS	07014500	2016-03-13	2440	A
USGS	07014500	2016-03-14	2520	A
USGS	07014500	2016-03-15	3150	A
USGS	07014500	2016-03-16	2580	A
USGS	07014500	2016-03-17	2010	A
USGS	07014500	2016-03-18	1680	A
USGS	07014500	2016-03-19	1480	A
USGS	07014500	2016-03-20	1330	A
USGS	07014500	2016-03-21	1210	A
