# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-23 10:27:52 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07018100 Big River near Richwoods, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 07018100
#            TS   parameter     statistic     Description
#         76058       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	76058_00060_00003	76058_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07018100	2016-01-23	387	A
USGS	07018100	2016-01-24	377	A
USGS	07018100	2016-01-25	377	A
USGS	07018100	2016-01-26	380	A
USGS	07018100	2016-01-27	372	A
USGS	07018100	2016-01-28	362	A
USGS	07018100	2016-01-29	354	A
USGS	07018100	2016-01-30	347	A
USGS	07018100	2016-01-31	342	A
USGS	07018100	2016-02-01	333	A
USGS	07018100	2016-02-02	332	A
USGS	07018100	2016-02-03	333	A
USGS	07018100	2016-02-04	319	A
USGS	07018100	2016-02-05	309	A
USGS	07018100	2016-02-06	301	A
USGS	07018100	2016-02-07	294	A
USGS	07018100	2016-02-08	291	A
USGS	07018100	2016-02-09	288	A
USGS	07018100	2016-02-10	280	A
USGS	07018100	2016-02-11	276	A
USGS	07018100	2016-02-12	275	A
USGS	07018100	2016-02-13	267	A
USGS	07018100	2016-02-14	264	A
USGS	07018100	2016-02-15	270	A
USGS	07018100	2016-02-16	293	A
USGS	07018100	2016-02-17	477	A
USGS	07018100	2016-02-18	628	A
USGS	07018100	2016-02-19	621	A
USGS	07018100	2016-02-20	551	A
USGS	07018100	2016-02-21	501	A
USGS	07018100	2016-02-22	465	A
USGS	07018100	2016-02-23	427	A
USGS	07018100	2016-02-24	439	A
USGS	07018100	2016-02-25	921	A
USGS	07018100	2016-02-26	921	A
USGS	07018100	2016-02-27	783	A
USGS	07018100	2016-02-28	709	A
USGS	07018100	2016-02-29	647	A
USGS	07018100	2016-03-01	591	A
USGS	07018100	2016-03-02	540	A
USGS	07018100	2016-03-03	502	A
USGS	07018100	2016-03-04	475	A
USGS	07018100	2016-03-05	451	A
USGS	07018100	2016-03-06	421	A
USGS	07018100	2016-03-07	401	A
USGS	07018100	2016-03-08	392	A
USGS	07018100	2016-03-09	388	A
USGS	07018100	2016-03-10	424	A
USGS	07018100	2016-03-11	733	A
